loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.681344211101532,0.5674118995666504,0.5614599585533142,0.5401280522346497,0.6366053223609924,0.6587089896202087,0.8183646202087402,0.39097023010253906
0.6259242296218872,0.6594062447547913,0.6566429734230042,0.6408751606941223,0.5999240875244141,0.7095963358879089,0.8013244867324829,0.5424271821975708
0.598802387714386,0.6829153299331665,0.6803832054138184,0.6670224070549011,0.5746283531188965,0.7177634835243225,0.7051361203193665,0.7297470569610596
0.5861455202102661,0.6983611583709717,0.6932219862937927,0.6909285187721252,0.5625962615013123,0.731898844242096,0.7708492875099182,0.6452129483222961
0.5711782574653625,0.7077857255935669,0.7052323818206787,0.6947705149650574,0.55426424741745,0.7229464650154114,0.6877590417861938,0.7969900965690613
0.5654667615890503,0.7091470956802368,0.7055274248123169,0.698826014995575,0.5445312857627869,0.7375530004501343,0.7400793433189392,0.7166186571121216
0.5597662925720215,0.7145923972129822,0.7114036083221436,0.7037353515625,0.541703462600708,0.7427359819412231,0.7899258136749268,0.6477745771408081
0.5551311373710632,0.717053234577179,0.7126769423484802,0.7091782093048096,0.5336247682571411,0.7454059720039368,0.7516756057739258,0.7182196378707886
0.5524705648422241,0.7188334465026855,0.7144542336463928,0.7110992670059204,0.5368635654449463,0.7457201480865479,0.809975266456604,0.629202663898468
0.5520857572555542,0.7186763882637024,0.7154252529144287,0.7083244323730469,0.5280138254165649,0.7515313625335693,0.7852647304534912,0.679154634475708
