loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.5776474475860596,0.709778904914856,0.7130448818206787,0.702113926410675,0.5361692905426025,0.74878990650177,0.7649484276771545,0.718296229839325
0.5368204116821289,0.7434242367744446,0.7595045566558838,0.7124415040016174,0.549412727355957,0.7061955332756042,0.6643518805503845,0.8334946632385254
0.5220286250114441,0.7503630518913269,0.7685649991035461,0.7164757251739502,0.5202242136001587,0.7369312644004822,0.7101760506629944,0.8005808591842651
0.5144819617271423,0.751734733581543,0.7700831294059753,0.7177666425704956,0.49998143315315247,0.7715392112731934,0.834725558757782,0.6771539449691772
0.5064404606819153,0.7568985223770142,0.7800844311714172,0.7155075073242188,0.48990949988365173,0.765488862991333,0.7788510322570801,0.7415295243263245
0.5012425184249878,0.764644205570221,0.7869139313697815,0.7258350849151611,0.4849069118499756,0.7691190838813782,0.7886812090873718,0.735237181186676
0.49784186482429504,0.7592383623123169,0.783583402633667,0.7163143754005432,0.4909653067588806,0.7577444314956665,0.7446026802062988,0.7846079468727112
0.4959981441497803,0.7654510140419006,0.7907387614250183,0.7219622135162354,0.5192079544067383,0.7238625288009644,0.680311918258667,0.844627320766449
0.49207642674446106,0.7644827961921692,0.787241518497467,0.7248668670654297,0.48051199316978455,0.7812197208404541,0.8508453965187073,0.6819941997528076
0.4903539717197418,0.7665805816650391,0.7943692207336426,0.7193803191184998,0.4858628511428833,0.7819457650184631,0.864290177822113,0.6689254641532898
